Waypoint,Country,Site,Latitude,Longitude,Elevation..m.,Location,Farm,forest2Km,forest500m,open500m,open2km
PaBHF07,Panama,Boquete,8.80541,-82.387998,2013,Rio Cristal,Cafe Kotowa,0.897905573,0.987640449,0,0.055804047
PaBHF06,Panama,Boquete,8.807901,-82.394251,1750,Rio Cristal,Cafe Kotowa,0.870846883,0.959505062,0,0.069984448
PaBHSC01,Panama,Boquete,8.824319,-82.457333,1574,Horqueta,Finca Hortigal,0.502360651,0.225950783,0.44295302,0.13628356
PaBHSC02,Panama,Boquete,8.822304,-82.456162,1519,Horqueta,Finca Hortigal,0.46667607,0.271604938,0.411896745,0.135623105
PaBHSC03,Panama,Boquete,8.820029,-82.457373,1497,Horqueta,Finca Hortigal,0.388051249,0.096520763,0.417508418,0.166631273
PaBHSC04,Panama,Boquete,8.81788,-82.457374,1458,Horqueta,Finca Hortigal,0.34563093,0.105499439,0.320987654,0.17377142
PaBHF08,Panama,Boquete,8.811988,-82.396157,1732,Rio Cristal,Cafe Kotowa,0.893348461,0.946067416,0.006741573,0.045312722
PaBHF05,Panama,Boquete,8.811042,-82.398207,1609,Rio Cristal,Cafe Kotowa,0.868633277,0.885521886,0.042648709,0.058503113
PaBHSh07,Panama,Boquete,8.820616,-82.463118,1533,Los Naranjos,Cafetales Urriola,0.308860041,0.017977528,0.274157303,0.219621196
PaBHSh06,Panama,Boquete,8.818079,-82.462947,1515,Los Naranjos,Cafetales Urriola,0.240681576,0,0.159955257,0.231877884
PaBHSh09,Panama,Boquete,8.817419,-82.48541,1878,Los Naranjos,Finca Lerida,0.420633793,0.476190476,0.007936508,0.153261333
PaBLF01,Panama,Boquete,8.786224,-82.410721,1603,Jaramillo,Jaramillo Coffee Estate,0.380228137,0.546892655,0.093785311,0.178777637
PaBLSh01,Panama,Boquete,8.786104,-82.411683,1544,Jaramillo,Jaramillo Coffee Estate,0.353479853,0.453527436,0.10862262,0.178641871
PaBLSC02,Panama,Boquete,8.786137,-82.414336,1390,Jaramillo,Jaramillo Coffee Estate,0.297998308,0.218961625,0.100451467,0.175993798
PaBLSC01,Panama,Boquete,8.784269,-82.413019,1397,Jaramillo,Jaramillo Coffee Estate,0.297640014,0.315315315,0.119369369,0.184853822
PaBHSC09,Panama,Boquete,8.821721,-82.483758,1801,El Velo,Hacienda La Esmeralda,0.431885909,0.350057013,0.029646522,0.168440471
PaBHSC08,Panama,Boquete,8.822918,-82.486135,1843,El Velo,Hacienda La Esmeralda,0.501736973,0.516891892,0.007882883,0.140659341
PaBHF04,Panama,Boquete,8.824952,-82.495358,1921,El Velo,Hacienda La Esmeralda,0.70941501,0.875706215,0,0.078022211
PaBHSh05,Panama,Boquete,8.8228126,-82.493958,1981,El Velo,Hacienda La Esmeralda,0.682104667,0.853768279,0,0.071949579
PaBHF10,Panama,Boquete,8.818379,-82.499801,2218,El Velo,Hacienda La Esmeralda,0.843981123,0.895388076,0.060742407,0.021201662
PaBHF09,Panama,Boquete,8.8179818,-82.4983538,2191,El Velo,Hacienda La Esmeralda,0.802720609,0.876557191,0.061155153,0.026853679
PaBLF04,Panama,Boquete,8.794833,-82.410912,1763,Jaramillo,Piedra Musgo,0.456786645,0.918069585,0.042648709,0.134465028
PaBLF07,Panama,Boquete,8.791021,-82.409564,1678,Jaramillo,Piedra Musgo,0.440295879,0.705617978,0.097752809,0.154209229
PaBLF09,Panama,Boquete,8.792404,-82.414306,1648,Jaramillo,Piedra Musgo,0.358777551,0.768707483,0.002267574,0.131187945
PaBLSh07,Panama,Boquete,8.779792,-82.405567,1611,Jaramillo,Hacienda La Esmeralda,0.358595454,0.374859708,0.277216611,0.253324889
PaBLSC06,Panama,Boquete,8.772612,-82.410834,1465,Jaramillo,Hacienda La Esmeralda,0.166373301,0.02247191,0.395505618,0.242624798
PaBLSC03,Panama,Boquete,8.80964,-82.431158,1296,Alto Lino,Altieri Specialty Coffee,0.409594356,0.062992126,0.023622047,0.071040564
PaBLSh03,Panama,Boquete,8.798742,-82.443445,1308,Alto Lino,Cafelino,0.084215728,0.030269058,0.032511211,0.182973316
PaBLF02,Panama,Boquete,8.799098,-82.447031,1378,Alto Lino,Cafelino,0.084330525,0.148148148,0.117845118,0.188203639
PaBLSh02,Panama,Boquete,8.801358,-82.446702,1494,Alto Lino,Cafelino,0.119411432,0.237934905,0.003367003,0.165110357
PaBHSh08,Panama,Boquete,8.818264,-82.487419,1920,Los Naranjos,Finca Lerida,0.476941661,0.62247191,0.002247191,0.14097918
PaBHF03,Panama,Boquete,8.820696,-82.489188,1824,Los Naranjos,Finca Lerida,0.539486743,0.707344633,0,0.128243301
PaBHF02,Panama,Boquete,8.820045,-82.491503,1835,Los Naranjos,Finca Lerida,0.603674541,0.799327354,0,0.105128751
PaBLF05,Panama,Boquete,8.819087,-82.482312,1752,Los Naranjos,Finca Lerida,0.368585643,0.35600907,0.019274376,0.179886283
PaBLSh05,Panama,Boquete,8.781671,-82.404324,1668,Jaramillo,Hacienda La Esmeralda,0.419441121,0.521493213,0.254524887,0.244034631
PaBLF03,Panama,Boquete,8.783695,-82.401987,1732,Jaramillo,Hacienda La Esmeralda,0.507601351,0.697648376,0.115341545,0.235571509
PaBLSh04,Panama,Boquete,8.781143,-82.400564,1683,Jaramillo,Hacienda La Esmeralda,0.47240991,0.6,0.187570621,0.265343468
PaBLSh08,Panama,Boquete,8.779463,-82.40125,1620,Jaramillo,Hacienda La Esmeralda,0.418848536,0.431946007,0.275590551,0.285261824
PaBLSh06,Panama,Boquete,8.779637,-82.403206,1636,Jaramillo,Hacienda La Esmeralda,0.394862773,0.378804961,0.295377678,0.273469388
PaBHSC05,Panama,Boquete,8.814698,-82.451938,1465,Horqueta,Finca La Gloria,0.360087534,0.280089989,0.053993251,0.127700127
PaBHSh01,Panama,Boquete,8.813169,-82.453794,1452,Horqueta,Finca La Gloria,0.298493742,0.08632287,0.061659193,0.149565094
PaBHF01,Panama,Boquete,8.812669,-82.450675,1421,Horqueta,Finca La Gloria,0.320570783,0.137697517,0.068848758,0.126589432
PaBHSC07,Panama,Boquete,8.807705,-82.449294,1391,Horqueta,Finca La Gloria,0.221064569,0.108843537,0.055555556,0.153944291
PaBHSC06,Panama,Boquete,8.809044,-82.447515,1483,Horqueta,Finca La Gloria,0.270283653,0.170786517,0.098876404,0.129801231
PaBHSh02,Panama,Boquete,8.812865,-82.461167,1372,Los Naranjos,Cafetales Urriola,0.176804197,0,0.071347678,0.23110733
PaBHSh03,Panama,Boquete,8.811662,-82.459075,1415,Los Naranjos,Cafetales Urriola,0.192141593,0.002239642,0.0537514,0.207433628
PaBHSh04,Panama,Boquete,8.814996,-82.460608,1481,Los Naranjos,Cafetales Urriola,0.221300433,0,0.151927438,0.217967808
PaBLSC04,Panama,Boquete,8.773815,-82.407194,1469,Jaramillo,Hacienda La Esmeralda,0.241588061,0.01369863,0.584474886,0.248979305
PaBLSC05,Panama,Boquete,8.772046,-82.408598,1457,Jaramillo,Hacienda La Esmeralda,0.195566502,0.005688282,0.532423208,0.249472203
PaBLSC07,Panama,Boquete,8.771174,-82.412636,1441,Jaramillo,Hacienda La Esmeralda,0.115769448,0.015819209,0.288135593,0.250563698
PaBLF06,Panama,Boquete,8.789285,-82.407358,1633,Jaramillo,Hacienda Mamecillo,0.49063644,0.497752809,0.108988764,0.170515348
PaBLF08,Panama,Boquete,8.792535,-82.412108,1700,Jaramillo,Piedra Musgo,0.401520484,0.874157303,0.011235955,0.143812474
PaRLSC04,Panama,Renacimiento,8.877706,-82.76066,1446,Piedra Candela,Cafe Eleta,0.10902812,0.073033708,0.81011236,0.559658891
PaRLSC03,Panama,Renacimiento,8.877711,-82.757987,1469,Piedra Candela,Cafe Eleta,0.158691063,0.006741573,0.796629213,0.540745954
PaRLSC02,Panama,Renacimiento,8.877643,-82.755663,1512,Piedra Candela,Cafe Eleta,0.217657404,0.054932735,0.713004484,0.515371087
PaRLSC01,Panama,Renacimiento,8.879801,-82.757204,1487,Piedra Candela,Cafe Eleta,0.199324086,0.007865169,0.858426966,0.536647187
PaRHSC05,Panama,Renacimiento,8.882114,-82.756381,1495,Piedra Candela,Cafe Eleta,0.251267249,0.006741573,0.833707865,0.520487187
PaRLSC07,Panama,Renacimiento,8.884867,-82.763433,1464,Piedra Candela,Finca Candela,0.139239613,0,0.915062288,0.519573958
PaRLSC06,Panama,Renacimiento,8.870583,-82.775615,1308,Piedra Candela,Cafe Eleta,0.00852593,0,0.095183486,0.4375
PaRLSh06,Panama,Renacimiento,8.87175,-82.773679,1350,Piedra Candela,Cafe Eleta,0.008609131,0.001124859,0.066366704,0.462705525
PaRLSh05,Panama,Renacimiento,8.875516,-82.770156,1376,Piedra Candela,Cafe Eleta,0.009810841,0.001121076,0.531390135,0.505787691
PaRLSh04,Panama,Renacimiento,8.87396,-82.766836,1395,Piedra Candela,Cafe Eleta,0.017710979,0.065095398,0.46352413,0.526531188
PaRLF09,Panama,Renacimiento,8.873913,-82.763989,1412,Piedra Candela,Cafe Eleta,0.040693984,0.119101124,0.493258427,0.53776712
PaRLSh03,Panama,Renacimiento,8.875169,-82.764776,1426,Piedra Candela,Cafe Eleta,0.03811137,0.104377104,0.579124579,0.541887219
PaRLF01,Panama,Renacimiento,8.858833,-82.74285,1489,Santa Clara,Finca Hartmann Ojo de Agua,0.139523441,0.179171333,0.580067189,0.517958811
PaRLF02,Panama,Renacimiento,8.860733,-82.741416,1564,Santa Clara,Finca Hartmann Ojo de Agua,0.172430761,0.292929293,0.442199776,0.525586953
PaRLF03,Panama,Renacimiento,8.862907,-82.742688,1522,Santa Clara,Finca Hartmann Ojo de Agua,0.211899571,0.3867713,0.294843049,0.504395527
PaRLF04,Panama,Renacimiento,8.865902,-82.7422,1598,Santa Clara,Finca Hartmann Ojo de Agua,0.281324708,0.417792793,0.253378378,0.478835607
PaRLF05,Panama,Renacimiento,8.865151,-82.739868,1708,Santa Clara,Finca Hartmann Ojo de Agua,0.273174503,0.44180791,0.383050847,0.510858107
PaRLF06,Panama,Renacimiento,8.862607,-82.740121,1682,Santa Clara,Finca Hartmann Ojo de Agua,0.213582677,0.356902357,0.40291807,0.530371204
PaRHSC02,Panama,Renacimiento,8.884583,-82.754535,1511,Piedra Candela,Finca Don Bosco,0.345674667,0,0.688413948,0.476877596
PaRHSC01,Panama,Renacimiento,8.886176,-82.752635,1537,Piedra Candela,Finca Don Bosco,0.426379505,0.123318386,0.513452915,0.425253378
PaRHSC04,Panama,Renacimiento,8.885366,-82.759673,1486,Piedra Candela,Finca Don Bosco,0.231994362,0.004530011,0.81993205,0.512614517
PaRHF01,Panama,Renacimiento,8.889565,-82.752007,1627,Piedra Candela,Finca Don Bosco,0.49556962,0.502799552,0.247480403,0.376160338
PaRHF02,Panama,Renacimiento,8.891698,-82.751388,1730,Piedra Candela,Finca Don Bosco,0.541247626,0.705156951,0.141255605,0.332372178
PaRHF03,Panama,Renacimiento,8.893992,-82.75093,1816,Piedra Candela,Cerro Quijada del Diablo,0.589150014,0.841037204,0.125140924,0.291514213
