Common_Name,Number_Observed,distance_band,Point_Name,duration_hrs,sub_comments,Date_Time,latitude,longitude
Black-faced Solitaire,1,outside,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
hummingbird sp.,1,outside,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Golden-browed Chlorophonia,1,outside,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
White-tailed Emerald,1,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Mountain Thrush,5,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
White-throated Thrush,3,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Lesser Violetear,1,outside,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Silver-throated Tanager,1,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Slate-throated Redstart,3,outside,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Slate-throated Redstart,3,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Mountain Elaenia,3,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Silver-throated Tanager,3,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Mistletoe Tyrannulet,1,outside,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Purple-throated Mountain-gem,1,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Mountain Elaenia,1,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Common Chlorospingus,4,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Long-tailed Silky-flycatcher,1,outside,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
White-throated Thrush,1,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Black-faced Solitaire,1,outside,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Slate-throated Redstart,1,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
White-winged Tanager,1,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
White-tailed Emerald,2,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Rufous-browed Peppershrike,1,outside,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Wilson's Warbler,1,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
