Name_Point,Latitude,Longitud,Habitat,Elevation,Slope,Distance to Edge,Number_tree_species,Tree_basal_area,Number_tree_individuals,Height_tallest_tree,Average_Canopy_Height,SE_canopy_height,Average_canopy_density,SE_canopy_density
PaBHF07,8.80541,-82.387998,Forest,2013,100,40,8,50,28,18,10.4375,2.871504086,91.29,3.90
PaBHF06,8.807901,-82.394251,Forest,1750,97.5,40,9,25,10,23.5,15.75,1.322875656,88.38,2.72
PaBHSC01,8.824319,-82.457333,Sun,1574,91.5,50,4,2,6,14,2.6,4.241331028,28.32,31.94
PaBHSC02,8.822304,-82.456162,Sun,1519,100.5,40,2,4,0,18,0,0,8.22,16.89
PaBHSC03,8.820029,-82.457373,Sun,1497,88,50,7,3,8,14,1,3,14.54,21.06
PaBHSC04,8.81788,-82.457374,Sun,1458,88.5,50,0,2,0,0,0,0,0.16,0.00
PaBHF08,8.811988,-82.396157,Forest,1732,106,100,10,51,15,23,19.16666667,2.121320344,83.49,5.16
PaBHF05,8.811042,-82.398207,Forest,1609,90.5,60,9,75,9,29.5,7.6875,5.147381442,88.07,3.86
PaBHSh07,8.820616,-82.463118,Shade,1533,97,>200,5,3,3,17.5,4,3.472111109,43.40,34.25
PaBHSh06,8.818079,-82.462947,Shade,1515,95,>200,3,2,14,10.5,4,3.472111109,60.58,24.05
PaBHSh09,8.817419,-82.48541,Shade,1878,87,60,5,2,11,20.5,8.833333333,6.853223086,74.58,8.25
PaBLF01,8.786224,-82.410721,Forest,1603,106,50,3,15,4,11.5,4.125,2.839454173,75.43,29.39
PaBLSh01,8.786104,-82.411683,Shade,1544,103.5,50,3,2,10,10,4,3.851406669,41.14,34.47
PaBLSC02,8.786137,-82.414336,Sun,1390,86.5,100,3,6,4,13.5,3.85,6.385965515,38.38,35.78
PaBLSC01,8.784269,-82.413019,Sun,1397,100,50,2,,2,10,2.45,4.284662569,29.12,36.27
PaBHSC09,8.821721,-82.483758,Sun,1801,105,60,3,3,3,13,3.4,4.433458645,25.85,26.55
PaBHSC08,8.822918,-82.486135,Sun,1843,97,70,4,20,10,4,3.7,2.311805451,46.93,21.20
PaBHF04,8.824952,-82.495358,Forest,1921,111,>200,14,60,11,21.5,16.3,5.43241301,95.87,1.25
PaBHSh05,8.8228126,-82.493958,Shade,1981,96.5,40,6,78,17,25.5,6.277777778,6.031744726,83.36,9.52
PaBHF10,8.818379,-82.499801,Forest,2218,103,110,5,5,6,22.5,11.61111111,9.29643002,65.68,20.86
PaBHF09,8.8179818,-82.4983538,Forest,2191,103.5,>200,7,100,15,22.5,13.05,6.24699928,66.80,10.56
PaBLF04,8.794833,-82.410912,Forest,1763,101,>200,6,60,25,20.5,14.05,3.66249763,79.17,5.65
PaBLF07,8.791021,-82.409564,Forest,1678,96,60,5,75,10,24,11.11111111,4.998610918,76.63,7.03
PaBLF09,8.792404,-82.414306,Forest,1648,93.5,>200,5,90,10,22.5,13.38888889,4.998610918,85.80,4.09
PaBLSh07,8.779792,-82.405567,Shade,1611,100.5,40,5,9,6,14.5,5.45,5.29910894,49.79,19.46
PaBLSC03,8.80964,-82.431158,Sun,1296,97.5,50,1,0,6,5,0.9,1.523883927,22.70,18.35
PaBLSh03,8.798742,-82.443445,Shade,1308,105,50,11,3,12,17,4.111111111,6.24888879,61.70,29.63
PaBLF02,8.799098,-82.447031,Forest,1378,103,70,10,30,6,19,9.5,6.661456297,87.21,5.83
PaBLSh02,8.801358,-82.446702,Shade,1494,104.5,40,7,45,19,20,12.1875,3.514637758,86.14,4.52
PaBHSh08,8.818264,-82.487419,Shade,1920,105.5,50,3,4,18,17.5,6.25,5.716690962,73.92,9.57
PaBHF03,8.820696,-82.489188,Forest,1824,100,>200,7,80,9,16.5,3.35,5.217758139,86.14,4.02
PaBHF02,8.820045,-82.491503,Forest,1835,98,>200,6,70,9,20,18.7,6.494442068,88.30,3.30
PaBLF05,8.819087,-82.482312,Forest,1752,94.5,50,8,65,18,22,12.7,8.505553741,90.95,2.88
PaBLSh05,8.781671,-82.404324,Shade,1668,100.5,90,5,17,5,13.5,2.2,4.237399622,62.69,11.53
PaBLF03,8.783695,-82.401987,Forest,1732,96,100,7,90,26,20,12.1,2.59058123,91.29,2.83
PaBLSh04,8.781143,-82.400564,Shade,1683,104,50,7,5,11,14,3.4,4.593473631,39.13,18.27
PaBLSh08,8.779463,-82.40125,Shade,1620,100.5,80,4,3,11,17,6.6,6.270743355,58.92,13.23
PaBLSh06,8.779637,-82.403206,Shade,1636,102,40,5,8,9,15,3,5.416025603,53.98,19.43
PaBHSC05,8.814698,-82.451938,Sun,1465,100.5,50,3,0,4,18,0.5,1.08012345,26.76,25.38
PaBHSh01,8.813169,-82.453794,Shade,1452,103,60,5,1,3,13.5,0,0,22.99,20.36
PaBHF01,8.812669,-82.450675,Forest,1421,98,40,10,80,17,23,9.6875,6.562542517,89.57,2.19
PaBHSC07,8.807705,-82.449294,Sun,1391,109.5,>200,0,0,0,0,0,0,11.68,16.01
PaBHSC06,8.809044,-82.447515,Sun,1483,95,50,1,4,1,7,1.611111111,3.199392303,17.29,23.96
PaBHSh02,8.812865,-82.461167,Shade,1372,91,60,6,5,3,15.5,2.214285714,2.855654374,39.11,18.49
PaBHSh03,8.811662,-82.459075,Shade,1415,98,100,4,3,7,13.5,3.555555556,5.547772326,64.77,20.90
PaBHSh04,8.814996,-82.460608,Shade,1481,92.5,>200,5,3,10,11.5,3.6,3.99861087,66.72,20.34
PaBLSC04,8.773815,-82.407194,Sun,1469,102,80,3,12,3,17,3.05,2.420399416,32.30,16.34
PaBLSC05,8.772046,-82.408598,Sun,1457,88,130,5,2,4,12,0,0,21.38,25.11
PaBLSC06,8.772612,-82.410834,Sun,1465,97,>200,5,3,3,14,3.15,5.281256164,17.48,25.22
PaBLSC07,8.771174,-82.412636,Sun,1441,96.5,130,4,3,4,16.5,3.75,6.272736422,12.09,15.52
PaBLF06,8.789285,-82.407358,Forest,1633,105,60,8,40,16,17,11.92857143,1.33630621,91.60,2.69
PaBLF08,8.792535,-82.412108,Forest,1700,103.5,140,7,60,15,19,12.45,2.966947552,84.45,2.08
PaRLSC04,8.877706,-82.76066,Sun,1446,106,190,2,1,3,9.5,1,3.16227766,16.64,20.27
PaRLSC03,8.877711,-82.757987,Sun,1469,105.5,>200,2,1,3,14,0.95,3.004163777,16.64,25.55
PaRLSC02,8.877643,-82.755663,Sun,1512,99.5,60,5,6,2,10,3.1,5.02106673,36.95,32.43
