"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"16","Nothocercus bonapartei","Highland Tinamou","Tinamidae (Tinamous)","LC"
"14","Tinamus major","Great Tinamou","Tinamidae (Tinamous)","LC"
"21","Crypturellus soui","Little Tinamou","Tinamidae (Tinamous)","LC"
"29","Crypturellus kerriae","Choco Tinamou","Tinamidae (Tinamous)","VU"
"92","Chamaepetes unicolor","Black Guan","Cracidae (Guans, Chachalacas, Curassows)","LC"
"79","Penelope purpurascens","Crested Guan","Cracidae (Guans, Chachalacas, Curassows)","NT"
"61","Ortalis cinereiceps","Grey-headed Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"103","Crax rubra","Great Curassow","Cracidae (Guans, Chachalacas, Curassows)","VU"
"1016868","Colinus cristatus","Crested Bobwhite","Odontophoridae (New World quails)","LC"
"324","Odontophorus gujanensis","Marbled Wood-quail","Odontophoridae (New World quails)","LC"
"326","Odontophorus melanotis","Black-eared Wood-quail","Odontophoridae (New World quails)","NT"
"327","Odontophorus erythrops","Rufous-fronted Wood-quail","Odontophoridae (New World quails)","LC"
"332","Odontophorus dialeucos","Tacarcuna Wood-quail","Odontophoridae (New World quails)","LC"
"335","Odontophorus leucolaemus","Black-breasted Wood-quail","Odontophoridae (New World quails)","LC"
"338","Odontophorus guttatus","Spotted Wood-quail","Odontophoridae (New World quails)","LC"
"342","Rhynchortyx cinctus","Tawny-faced Quail","Odontophoridae (New World quails)","NT"
"354","Dendrocygna autumnalis","Black-bellied Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"349","Dendrocygna bicolor","Fulvous Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"356","Nomonyx dominicus","Masked Duck","Anatidae (Ducks, Geese, Swans)","LC"
"409","Cairina moschata","Muscovy Duck","Anatidae (Ducks, Geese, Swans)","LC"
"9857","Sarkidiornis sylvicola","American Comb Duck","Anatidae (Ducks, Geese, Swans)","LC"
"475","Aythya collaris","Ring-necked Duck","Anatidae (Ducks, Geese, Swans)","LC"
"483","Aythya affinis","Lesser Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"448","Spatula clypeata","Northern Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
